         22117845 function calls (22082351 primitive calls) in 663.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1426    0.016    0.000    0.156    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\etree\ElementTree.py:1233(iterparse)
     6937    0.016    0.000    0.059    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\sax\expatreader.py:372(end_element_ns)
       62    0.016    0.000    0.129    0.002 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\packaging\relationship.py:124(get_dependents)
    10089    0.016    0.000    0.035    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:205(appendChild)
     2378    0.015    0.000    0.015    0.000 {built-in method zlib.decompressobj}
    11475    0.015    0.000    0.015    0.000 {built-in method _codecs.charmap_decode}
    25048    0.015    0.000    0.019    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:49(_convert)
        2    0.015    0.007    0.015    0.007 {built-in method _winapi.CreateProcess}
    16177    0.015    0.000    0.021    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\indexed_component.py:537(__getitem__)
      856    0.014    0.000    0.152    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      561    0.014    0.000    0.016    0.000 {pandas._libs.lib.maybe_convert_numeric}
        2    0.014    0.007    0.051    0.026 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:344(_process_soln_bas)
     1426    0.014    0.000    0.014    0.000 {built-in method _abc._abc_init}
        9    0.014    0.002    0.025    0.003 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\run_OPF_jl.py:137(get_branch_dual_normal)
     6927    0.014    0.000    0.016    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\sax\xmlreader.py:332(items)
     2523    0.014    0.000    0.027    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:1033(close)
    51693    0.013    0.000    0.013    0.000 {built-in method builtins.id}
     3573    0.013    0.000    0.026    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\text.py:41(plaintext)
    18090    0.013    0.000    0.013    0.000 {pyomo.core.expr.numvalue.as_numeric}
      720    0.013    0.000    1.147    0.002 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\filemanager.py:110(get_bytes)
     1836    0.013    0.000    8.118    0.004 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\table.py:31(init_attributes_by_xmlnode)
       62    0.013    0.000    0.119    0.002 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\reader\workbook.py:46(parse)
     1836    0.012    0.000    8.137    0.004 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\table.py:30(__init__)
       62    0.012    0.000    0.362    0.006 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\stylesheet.py:188(apply_stylesheet)
     1836    0.012    0.000    7.934    0.004 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablerowcontroller.py:17(__init__)
    13534    0.012    0.000    0.025    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\constraint.py:376(upper)
    17078    0.012    0.000    0.018    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:412(allowed_attributes)
      846    0.012    0.000    0.333    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:1215(__init__)
     1426    0.012    0.000    0.261    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\defusedxml\common.py:102(iterparse)
      720    0.012    0.000    0.013    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\manifest.py:47(find)
    14208    0.012    0.000    0.022    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\constraint.py:362(lower)
2480/1488    0.011    0.000    0.039    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\serialisable.py:173(__eq__)
     1521    0.011    0.000    0.128    0.000 {built-in method builtins.__build_class__}
     6952    0.011    0.000    0.011    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\label.py:103(__call__)
  496/124    0.011    0.000    0.020    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\serialisable.py:106(to_tree)
    13772    0.011    0.000    0.046    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\set.py:3935(<genexpr>)
     1426    0.011    0.000    0.017    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\posixpath.py:100(split)
     2647    0.011    0.000    0.075    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:1017(_read2)
     3573    0.011    0.000    0.057    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\cells.py:174(<listcomp>)
     8718    0.011    0.000    0.015    0.000 {built-in method builtins.next}
      378    0.011    0.000    0.016    0.000 {pandas._libs.lib.maybe_convert_objects}
     1836    0.011    0.000    8.164    0.004 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\wrapcache.py:16(wrap)
     6076    0.010    0.000    0.041    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\nested.py:28(__set__)
    11397    0.010    0.000    0.020    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\encodings\cp437.py:14(decode)
     1836    0.010    0.000    2.233    0.001 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:58(get_min_max_cell_count)
15211/8329    0.010    0.000    0.054    0.000 {built-in method builtins.hash}
       33    0.009    0.000    0.009    0.000 {built-in method io.open_code}
    29695    0.009    0.000    0.009    0.000 {method 'setdefault' of 'dict' objects}
     3573    0.009    0.000    0.080    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\cells.py:173(plaintext)
      144    0.009    0.000    0.009    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\manifest.py:16(__init__)
       62    0.009    0.000    0.103    0.002 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\reader\excel.py:133(read_manifest)
    27940    0.009    0.000    0.009    0.000 {method 'join' of 'str' objects}
     3870    0.009    0.000    0.010    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:98(rows)
       93    0.009    0.000   14.856    0.160 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\model_preparation.py:587(nodeBalance_rule)
     4928    0.008    0.000    0.012    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\opt\results\container.py:368(_convert)
     1836    0.008    0.000    7.826    0.004 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:152(normalize_table)
  378/189    0.008    0.000    0.044    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\indexes\base.py:397(__new__)
     1836    0.008    0.000    2.790    0.002 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:121(expand_repeated_table_content)
      751    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2404    0.008    0.000    0.028    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\opt\results\container.py:274(__getattr__)
     1736    0.008    0.000    0.012    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\posixpath.py:334(normpath)
      938    0.008    0.000    0.026    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\construction.py:470(sanitize_array)
     5394    0.008    0.000    0.019    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:140(__set__)
     7571    0.008    0.000    0.010    0.000 {built-in method builtins.max}
     2088    0.008    0.000    0.037    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablecolumncontroller.py:52(expand_column)
     2762    0.008    0.000    0.032    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\indexed_component.py:997(_setitem_when_not_present)
     1302    0.008    0.000   10.698    0.008 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\worksheet\_read_only.py:34(__init__)
    35508    0.008    0.000    0.008    0.000 {method 'read' of '_io.BytesIO' objects}
     7515    0.008    0.000    0.012    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\run_OPF_jl.py:27(remove_minimal_values)
     5394    0.008    0.000    0.011    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:126(__set__)
     5508    0.008    0.000    0.011    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:74(is_table)
    11386    0.007    0.000    0.023    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\constraint.py:155(has_lb)
     1426    0.007    0.000    0.012    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\etree\ElementTree.py:1285(__init__)
     9548    0.007    0.000    0.010    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:229(__get__)
     1836    0.007    0.000    5.024    0.003 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:137(align_table_columns)
      144    0.007    0.000    2.520    0.018 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\document.py:209(__init__)
     8874    0.007    0.000    0.009    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:460(_decodeExtra)
     1566    0.007    0.000    0.039    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:213(_EndRecData64)
     3470    0.007    0.000    0.007    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\attrconverters.py:202(cnv_StyleNameRef)
    10540    0.007    0.000    0.011    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\sequence.py:26(<listcomp>)
     4583    0.007    0.000    0.009    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\block.py:1487(<genexpr>)
     6928    0.007    0.000    0.078    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\opendocument.py:161(rebuild_caches)
